Czas[s]	Masa[g]
90.587	0.000
90.808	0.000
91.016	0.000
91.224	0.000
91.423	0.000
91.662	0.000
91.865	0.000
92.079	0.000
92.279	0.000
92.515	0.000
92.770	0.000
92.951	0.000
93.137	0.000
93.386	0.000
93.691	0.000
93.937	0.000
94.178	0.000
94.434	0.000
94.663	0.000
94.972	0.000
95.276	0.000
95.512	0.000
95.805	0.000
96.076	0.000
96.308	0.000
96.539	0.000
96.784	0.000
97.006	0.000
97.215	0.000
97.425	0.000
97.638	0.000
97.854	0.000
98.058	0.000
98.269	0.000
98.558	0.000
98.790	0.000
99.042	0.000
99.297	0.000
99.524	0.000
99.777	0.000
100.024	0.000
100.231	0.000
100.452	0.000
100.655	0.000
100.886	0.000
101.106	0.000
101.345	0.000
101.549	0.000
101.820	0.000
102.097	0.000
102.318	0.000
102.543	0.000
102.774	0.000
102.992	0.000
103.254	0.000
103.511	0.000
103.757	0.000
104.214	0.000
104.432	0.000
104.660	0.000
104.905	0.000
105.117	0.000
105.348	0.000
105.573	0.000
105.850	0.000
106.299	0.000
106.540	0.000
107.004	0.000
107.239	0.000
107.441	0.000
107.659	0.000
107.872	0.000
108.299	0.000
108.538	0.000
108.803	0.000
109.058	0.000
109.318	0.000
109.801	0.000
110.065	0.000
110.300	0.000
110.517	0.000
110.747	0.000
110.972	0.000
111.175	0.000
111.352	0.000
111.532	0.000
111.734	0.000
111.943	0.000
112.216	0.000
112.443	0.000
112.697	0.000
113.004	0.000
113.241	0.000
113.490	0.000
114.025	0.000
114.278	0.000
114.512	0.000
114.765	0.000
115.019	0.000
115.239	0.000
115.667	0.000
115.869	0.000
116.168	0.000
116.407	0.000
116.647	0.000
116.860	0.000
117.111	0.000
117.350	0.000
117.583	0.000
117.826	0.000
118.118	0.000
118.341	0.000
118.598	0.000
118.824	0.000
119.051	0.000
119.303	0.000
119.592	0.000
119.837	0.000
120.092	0.000
120.322	0.000
120.613	0.000
120.884	0.000
121.127	0.000
121.354	0.000
121.588	0.000
121.808	0.000
122.087	0.000
122.311	0.050
122.514	0.050
122.725	0.050
122.981	0.050
123.218	0.050
123.435	0.050
123.684	0.050
123.921	0.050
124.142	0.050
124.367	0.050
124.642	0.050
124.882	0.050
125.351	0.050
125.622	0.050
125.880	0.050
126.185	0.050
126.404	0.050
126.596	0.050
126.854	0.050
127.092	0.050
127.376	0.050
127.852	0.055
128.123	0.050
128.436	0.050
128.661	0.050
128.932	0.050
129.182	0.050
129.470	0.050
129.975	0.050
130.294	0.050
130.530	0.050
131.013	0.050
131.258	0.050
131.808	0.050
132.081	0.050
132.301	0.050
132.586	0.050
132.825	0.050
133.046	0.050
133.297	0.050
133.505	0.050
133.778	0.050
134.056	0.050
134.315	0.050
134.561	0.050
134.793	0.050
135.024	0.050
135.214	0.050
135.405	0.050
135.589	0.050
135.796	0.050
136.013	0.050
136.230	5.000
136.426	0.050
136.884	0.050
137.094	0.050
137.313	0.050
137.545	0.050
137.812	0.050
138.034	0.050
138.258	0.050
138.463	0.050
138.738	0.050
138.989	0.050
139.200	0.050
139.419	0.050
139.863	0.050
140.109	0.050
140.338	0.050
140.561	0.050
140.780	0.050
140.999	0.050
141.338	0.050
141.603	0.050
141.851	0.050
142.335	0.050
142.579	0.050
142.798	0.050
143.134	0.050
143.359	5.000
143.588	0.050
143.820	0.050
144.093	0.050
144.391	0.050
144.644	0.050
144.870	0.050
145.105	0.050
145.309	0.050
145.553	0.050
145.802	0.050
146.041	0.050
146.561	0.050
146.831	0.050
147.077	0.050
147.320	0.050
147.585	0.050
147.807	0.050
148.031	0.050
148.255	0.050
148.498	0.050
148.751	0.050
149.023	0.050
149.247	0.050
149.497	0.050
149.751	0.050
150.006	0.050
150.209	0.050
150.406	0.050
150.622	0.050
150.827	0.050
151.047	0.050
151.259	0.050
151.475	0.050
151.674	0.050
151.872	0.050
152.087	0.050
152.245	0.050
152.413	0.050
152.614	0.050
152.805	0.050
153.006	0.050
153.213	0.050
153.413	0.050
153.599	0.050
153.770	0.050
153.946	0.050
154.167	0.050
154.406	0.050
154.627	0.050
154.831	0.050
155.045	0.050
155.282	0.050
155.521	0.050
155.758	0.050
155.972	0.050
156.164	0.050
156.353	0.050
156.568	0.050
156.755	0.050
157.071	0.050
157.375	0.050
157.671	0.050
157.882	0.050
158.189	0.050
158.446	0.050
158.751	0.050
159.013	0.050
159.313	0.050
159.574	0.050
159.787	0.050
159.993	0.050
160.250	0.050
160.473	5.000
160.692	0.050
160.899	0.050
161.211	0.050
161.440	0.050
161.662	0.050
162.020	0.050
162.243	0.050
162.477	0.050
162.759	0.050
163.038	0.050
163.324	0.050
163.601	0.050
163.869	0.050
164.445	0.050
164.874	0.050
165.181	0.050
165.635	0.000
165.889	0.050
166.177	0.050
166.511	0.050
166.806	0.050
167.063	0.050
167.468	0.050
167.697	0.050
167.936	0.050
168.232	0.050
168.462	0.050
168.736	0.050
168.944	0.050
169.216	0.050
169.466	0.050
169.736	0.050
170.014	0.050
170.297	0.050
170.555	0.050
170.815	0.050
171.073	0.050
171.361	0.050
171.725	0.050
172.069	0.050
172.298	0.050
172.504	0.050
172.746	0.000
173.006	0.000
173.343	0.000
173.467	0.000
173.672	0.000
173.846	0.000
173.996	0.000
174.169	0.000
174.364	0.000
174.577	0.050
174.810	0.050
175.041	0.050
175.275	0.050
175.490	0.050
175.727	0.050
175.944	0.050
176.151	0.050
176.372	0.050
176.589	0.050
177.033	0.050
177.280	0.050
177.551	0.050
177.747	0.050
177.949	0.050
178.163	0.050
178.367	0.050
178.560	0.050
178.761	0.050
178.967	0.050
179.169	0.050
179.377	0.050
179.605	0.050
179.836	0.050
180.063	0.050
180.286	0.050
180.514	0.050
180.729	0.000
180.923	0.050
181.109	0.050
181.304	0.050
181.692	0.050
181.917	0.050
182.293	0.050
182.493	0.050
182.708	0.050
182.911	0.050
183.097	0.050
183.287	0.050
183.475	0.050
183.669	0.050
183.861	0.050
184.048	0.050
184.243	0.050
184.464	0.050
184.670	0.000
184.872	0.000
185.071	0.000
185.278	0.000
185.474	0.000
185.667	0.050
185.858	0.000
186.051	0.000
186.235	0.000
186.519	0.000
186.714	0.000
187.118	0.000
187.319	0.050
187.515	0.050
187.717	0.050
187.955	0.050
188.176	0.050
188.366	0.050
188.561	0.050
188.764	0.050
189.176	0.050
189.386	0.050
189.583	0.050
189.793	0.050
190.016	0.050
190.223	0.050
190.435	0.050
190.666	0.050
191.080	0.050
191.323	0.050
191.525	0.050
191.733	0.050
191.946	0.050
192.153	0.050
192.365	0.050
192.793	0.050
193.030	0.050
193.255	0.050
193.515	0.050
193.729	0.050
193.944	0.050
194.185	0.050
194.429	0.050
194.649	0.050
194.876	0.050
195.117	0.050
195.503	0.050
195.715	0.050
195.902	0.050
196.141	0.050
196.358	0.050
196.571	0.050
196.786	0.050
196.999	0.050
197.214	0.050
197.428	0.050
197.670	0.050
197.881	0.050
198.104	0.050
198.377	0.050
198.618	0.050
198.906	0.000
199.166	0.050
199.381	0.050
199.588	0.050
199.793	0.050
200.001	0.000
200.203	0.000
200.474	0.000
200.671	0.000
200.856	0.000
201.237	0.000
201.426	0.000
201.821	0.050
202.021	0.050
202.217	5.000
202.412	0.050
202.610	0.050
202.802	0.050
202.999	0.050
203.186	0.050
203.383	0.050
203.574	0.050
203.764	0.050
203.996	0.050
204.205	0.050
204.414	0.050
204.604	0.050
204.815	0.050
205.004	0.050
205.403	0.050
205.601	0.050
205.802	5.000
206.036	0.050
206.282	0.050
206.472	0.050
206.661	0.050
206.846	0.050
207.040	0.050
207.243	0.050
207.442	0.050
207.648	0.050
207.838	0.000
208.053	0.000
208.264	0.000
208.475	0.000
208.659	0.000
208.843	0.000
209.017	0.000
209.227	0.000
209.642	0.000
209.900	0.000
210.102	0.000
210.304	0.000
210.513	0.000
210.708	0.000
210.907	0.000
211.092	0.000
211.291	0.050
211.498	0.050
211.695	0.050
211.893	0.050
212.078	0.050
212.288	0.050
212.501	0.050
212.676	0.050
212.955	0.050
213.168	0.050
213.394	0.050
213.586	0.050
213.785	0.050
213.965	0.050
214.155	0.050
214.408	0.050
214.627	0.050
214.857	5.000
215.064	0.050
215.258	0.050
215.472	0.050
215.668	0.050
215.856	0.050
216.083	0.050
216.300	0.050
216.503	0.050
216.699	0.050
216.893	0.050
217.081	0.050
217.304	0.050
217.516	0.050
217.719	0.050
217.921	0.050
218.109	0.050
218.294	0.050
218.489	0.050
218.684	0.050
218.907	0.050
219.110	0.050
219.296	0.050
219.492	0.050
219.686	0.050
219.913	0.050
220.124	0.050
220.321	0.050
220.505	0.050
220.712	0.050
220.929	0.050
221.170	0.050
221.555	0.050
221.746	0.050
221.928	0.050
222.131	0.050
222.337	0.050
222.560	0.050
222.750	0.050
222.967	0.050
223.368	0.050
223.562	0.050
223.754	0.050
223.941	0.050
224.135	0.050
224.341	0.050
224.545	0.050
224.755	0.050
224.996	0.050
225.222	0.050
225.504	0.050
225.706	0.050
225.898	0.050
226.080	0.050
226.283	0.050
226.489	0.050
226.688	0.050
226.907	0.050
227.134	0.050
227.361	5.000
227.573	0.050
227.788	0.050
228.013	0.050
228.232	0.050
228.514	0.050
228.725	0.050
228.943	0.050
229.164	0.050
229.377	0.050
229.578	0.050
229.806	0.050
230.035	0.050
230.295	0.050
230.531	0.050
230.745	0.050
230.965	0.000
231.179	0.050
231.437	0.050
231.686	0.050
231.922	0.050
232.170	0.050
232.365	0.050
232.602	0.050
232.850	0.050
233.072	0.050
233.306	0.055
233.509	0.050
233.940	0.050
234.124	0.050
234.326	0.050
234.543	0.050
234.778	0.050
235.004	0.050
235.215	0.050
235.436	0.050
235.665	0.050
235.867	0.050
236.060	0.050
236.264	0.050
236.683	0.050
236.879	0.050
237.110	0.050
237.350	0.050
237.601	0.050
237.839	0.050
238.067	0.050
238.282	0.050
238.759	0.050
238.991	0.050
239.194	0.050
239.494	0.050
239.924	0.050
240.164	0.050
240.410	0.050
240.628	0.050
240.864	0.050
241.095	0.050
241.300	0.050
241.506	0.050
241.713	0.050
242.148	0.050
242.375	0.000
242.584	0.000
242.790	0.000
242.999	0.000
243.230	0.050
243.437	0.050
243.639	0.050
243.826	0.050
244.009	0.050
244.220	0.050
244.659	0.050
244.873	0.050
245.100	0.050
245.304	0.050
245.504	0.000
245.887	0.000
246.102	0.000
246.345	0.000
246.560	0.000
246.756	0.000
246.962	0.000
247.173	0.000
247.373	0.000
247.599	0.050
247.797	0.000
248.017	0.050
248.211	0.050
248.402	0.050
248.604	0.050
248.789	0.050
248.980	0.050
249.180	0.050
249.375	0.050
249.599	0.050
249.801	0.050
250.002	0.050
250.230	0.050
250.449	0.050
250.670	0.050
250.873	0.050
251.289	0.050
251.518	0.050
251.732	0.050
251.936	0.050
252.127	0.050
252.328	0.050
252.544	0.050
252.836	0.050
253.057	0.050
253.261	0.050
253.457	5.000
253.662	0.050
253.873	0.050
254.072	0.000
254.292	0.050
254.500	0.050
254.733	0.050
254.921	0.050
255.120	0.050
255.334	0.050
255.531	0.000
255.753	0.050
255.978	0.050
256.196	0.050
256.410	0.050
256.615	0.050
256.818	0.050
257.034	0.050
257.251	0.050
257.461	0.050
257.658	0.050
257.865	0.050
258.046	0.050
258.478	0.050
258.667	0.050
258.865	0.050
259.064	0.000
259.252	0.050
259.447	0.050
259.854	0.050
260.069	0.050
260.278	0.050
260.522	0.050
260.769	0.050
260.967	0.050
261.397	0.050
261.604	0.050
261.802	0.050
262.015	0.050
262.247	0.050
262.448	0.050
262.640	0.050
262.848	0.050
263.033	0.050
263.242	0.050
263.436	0.050
263.651	0.050
263.842	0.050
264.035	0.050
264.259	0.050
264.490	0.050
264.698	0.050
264.906	0.050
265.099	0.050
265.285	0.050
265.485	0.050
265.686	0.050
265.879	0.050
266.075	0.050
266.272	0.050
266.569	0.050
266.803	0.050
267.014	0.050
267.416	0.050
267.609	0.050
267.847	0.050
268.055	0.050
268.247	0.050
268.443	5.000
268.633	0.050
268.827	0.050
269.202	0.050
269.407	0.050
269.618	0.050
269.817	0.050
270.021	0.050
270.214	0.050
270.400	0.050
270.592	0.050
271.023	0.050
271.221	0.050
271.417	0.050
271.608	0.050
271.811	0.050
272.008	0.050
272.210	0.050
272.393	0.050
272.611	0.050
272.837	0.050
273.035	0.050
273.217	0.050
273.403	0.050
273.596	0.050
273.789	0.050
274.183	0.050
274.381	0.050
274.587	0.050
274.794	0.050
275.001	0.050
275.217	0.050
275.426	0.050
275.819	0.050
276.031	0.050
276.197	0.050
276.367	0.050
276.595	0.050
276.793	0.050
277.001	0.050
277.194	0.050
277.390	0.050
277.588	0.050
277.795	0.050
278.031	0.050
278.229	0.050
278.426	0.050
278.631	0.050
278.895	0.050
279.108	0.050
279.338	0.050
279.583	0.050
279.815	0.050
280.047	0.050
280.255	0.050
280.449	0.050
280.666	0.055
280.872	0.050
281.072	0.050
281.282	0.050
281.505	0.050
281.743	0.050
281.954	0.050
282.170	0.050
282.403	0.050
282.628	0.050
282.863	0.050
283.133	0.050
283.378	0.050
283.582	0.050
283.790	0.050
284.035	0.050
284.253	0.050
284.573	0.050
284.808	0.050
285.009	0.050
285.192	5.000
285.382	0.050
285.597	0.050
285.998	0.050
286.215	0.050
286.437	0.050
286.654	0.050
286.847	0.050
287.041	0.050
287.244	3.900
287.451	66.900
287.644	59.400
287.869	41.050
288.073	50.500
288.287	79.250
288.521	118.100
288.769	133.950
289.158	174.900
289.571	63.150
289.788	183.050
290.031	204.450
290.221	193.750
290.393	182.050
290.583	153.800
290.777	44.950
290.966	35.950
291.140	71.950
291.318	147.350
291.483	238.850
291.666	200.000
291.860	75.550
292.040	45.350
292.223	176.200
292.402	230.450
292.581	219.150
292.767	217.050
292.950	212.400
293.313	206.800
293.500	5.550
293.673	209.800
293.897	203.250
294.241	207.150
294.421	102.650
294.615	0.000
294.810	0.000
295.010	0.000
295.181	0.000
295.359	0.000
295.541	0.050
295.719	0.050
295.908	0.050
296.080	0.050
296.257	0.050
296.444	0.000
296.614	0.000
296.802	0.000
297.071	0.050
297.250	0.050
297.435	0.050
297.649	0.050
297.879	0.050
298.122	0.050
298.348	0.050
298.574	0.050
298.817	0.050
299.316	0.050
299.547	0.050
299.765	0.050
300.015	0.050
300.241	0.050
300.479	0.050
300.660	0.050
300.740	0.050
300.742	0.050
300.745	0.050
300.746	0.050
300.748	0.050
300.751	0.050
300.754	0.050
300.756	0.050
300.759	0.050
300.863	0.050
300.947	0.050
300.949	0.050
300.951	0.050
300.952	0.050
300.954	0.050
300.955	0.050
300.957	0.050
300.959	0.050
300.961	0.050
300.963	0.050
300.966	0.050
301.072	0.050
301.173	0.050
301.244	0.050
301.246	0.050
301.248	0.050
301.251	0.050
301.253	0.050
301.257	5.000
301.259	0.050
301.261	0.050
301.264	0.050
301.268	0.050
301.270	0.050
301.275	0.050
301.344	0.050
301.346	0.050
301.349	0.050
301.350	0.050
301.353	0.050
301.355	0.050
301.357	0.050
301.359	0.050
301.360	0.050
301.362	0.050
301.364	0.050
301.366	0.050
301.368	0.050
301.370	0.050
301.372	0.050
301.374	0.050
301.375	0.050
301.453	5.000
301.455	0.050
301.457	0.050
301.459	0.050
301.462	5.000
301.464	0.050
301.466	0.050
301.468	0.050
301.471	0.050
301.473	5.000
301.476	0.050
301.555	0.050
301.557	0.050
301.559	0.050
301.564	0.050
301.568	0.050
301.570	0.050
301.573	0.050
301.576	0.050
301.721	0.050
301.825	0.050
301.917	0.050
301.919	0.050
301.921	0.050
301.922	0.050
301.924	0.050
301.926	0.050
301.989	0.050
301.991	0.050
301.992	0.050
301.994	0.050
301.996	0.050
301.998	0.050
302.001	0.050
302.003	0.050
302.005	0.050
302.007	0.050
302.009	0.050
302.011	0.050
302.014	0.050
302.016	0.050
302.018	0.050
302.020	0.050
302.022	0.050
302.024	5.000
302.026	0.050
302.096	0.050
302.099	0.050
302.102	0.050
302.104	0.050
302.106	0.000
302.108	0.050
302.110	0.050
302.112	0.050
302.114	0.050
302.116	0.050
302.118	0.000
302.121	0.050
302.123	0.050
302.125	0.050
302.126	0.050
302.218	0.050
302.220	0.050
302.222	0.050
302.224	0.050
302.227	0.050
